Date,Mkt-RF,SMB,HML,RF
19820104,0.16,-0.01,0.59,0.04
19820105,-2.03,0.66,1.48,0.04
19820106,-0.81,-0.07,0.72,0.04
19820107,-0.27,0.25,0.07,0.04
19820108,0.46,-0.01,0.09,0.04
19820111,-2.33,0.21,1.78,0.04
19820112,-0.55,-0.35,0.12,0.04
19820113,-1.28,0.41,0.31,0.04
19820114,0.48,-0.38,-0.39,0.04
19820115,0.6,0.13,-0.81,0.04
19820118,0.58,-0.55,-0.51,0.04
19820119,-0.95,0.51,0.79,0.04
19820120,-0.61,0.22,0.55,0.04
19820121,0.3,-0.33,0.01,0.04
19820122,-0.38,0.02,0.63,0.04
19820125,-0.4,-0.94,0.31,0.04
19820126,-0.17,-0.03,0.08,0.04
19820127,0.35,-0.38,-0.25,0.04
19820128,2.53,-0.74,-1.74,0.04
19820129,1.12,0.03,-0.73,0.04
19820201,-1.79,0.95,0.79,0.048
19820202,0.27,0.01,-0.17,0.048
19820203,-0.93,0.79,0.54,0.048
19820204,-0.2,-0.01,0.22,0.048
19820205,0.76,-0.1,-0.09,0.048
19820208,-2.16,0.27,1.6,0.048
19820209,-0.94,-0.35,0.93,0.048
19820210,0.61,-0.47,-0.11,0.048
19820211,-0.14,-0.21,0.44,0.048
19820212,-0.07,0.15,-0.09,0.048
19820216,-0.46,-0.31,0.11,0.048
19820217,-0.19,0.45,-0.38,0.048
19820218,0.06,-0.09,-0.45,0.048
19820219,-0.47,-0.07,0.45,0.048
19820222,-1.25,0.43,1.63,0.048
19820223,-0.22,-0.67,0.99,0.048
19820224,1.4,-0.97,-0.27,0.048
19820225,-0.04,0.65,-0.29,0.048
19820226,-0.16,-0.01,0.43,0.048
19820301,0.24,-0.04,0.32,0.042
19820302,-0.38,0.29,1.12,0.042
19820303,-1.52,-0.07,1.99,0.042
19820304,-1.08,-0.15,1.44,0.042
19820305,-0.69,-0.59,1.7,0.042
19820308,-1.61,-0.19,2.1,0.042
19820309,0.7,-1.33,-0.59,0.042
19820310,0.5,0.12,-0.49,0.042
19820311,-0.12,-0.06,0.28,0.042
19820312,-0.8,-0.02,0.57,0.042
19820315,0.49,-0.63,-1,0.042
19820316,-0.06,0.41,-0.26,0.042
19820317,-0.15,0.18,-0.1,0.042
19820318,1.12,-0.04,-0.96,0.042
19820319,0.3,0.45,-0.35,0.042
19820322,1.88,-0.3,-1.65,0.042
19820323,0.59,0.01,-0.56,0.042
19820324,-0.45,0.5,0.2,0.042
19820325,0.31,0.36,-0.36,0.042
19820326,-0.89,0.57,0.34,0.042
19820329,0.12,0.03,-0.22,0.042
19820330,0.01,0.06,0,0.042
19820331,-0.22,0.19,0.08,0.042
19820401,1.37,-0.36,-1.03,0.053
19820402,1.06,-0.31,-1.13,0.053
19820405,-0.31,0.4,-0.15,0.053
19820406,0.48,-0.24,-0.11,0.053
19820407,0.15,0.3,-0.24,0.053
19820408,0.59,-0.04,-0.33,0.053
19820412,-0.22,0.18,0.17,0.053
19820413,-0.04,0.13,0.23,0.053
19820414,-0.17,-0.03,0.25,0.053
19820415,0.39,0.01,-0.5,0.053
19820416,0.45,0.01,-0.31,0.053
19820419,-0.09,0.19,0.51,0.053
19820420,-0.94,0.58,0.69,0.053
19820421,0.22,0,0.22,0.053
19820422,1.01,-0.44,-0.57,0.053
19820423,1.04,-0.35,-0.78,0.053
19820426,0.42,0.02,-0.49,0.053
19820427,-0.91,0.43,0.35,0.053
19820428,-0.61,0.61,-0.05,0.053
19820429,-0.9,0.46,0.42,0.053
19820430,0.17,-0.02,-0.17,0.053
19820503,0.27,-0.31,0.05,0.053
19820504,0.59,-0.06,-0.21,0.053
19820505,0.12,-0.24,0.12,0.053
19820506,0.83,-0.13,-0.12,0.053
19820507,0.69,-0.3,-0.18,0.053
19820510,-0.75,0.37,0.11,0.053
19820511,0.79,-0.32,-0.47,0.053
19820512,-0.31,0.17,0.24,0.053
19820513,-0.62,0.51,0.04,0.053
19820514,-0.13,0.23,-0.05,0.053
19820517,-1.07,0.32,0.45,0.053
19820518,-0.82,0.02,0.32,0.053
19820519,-0.76,0.15,0.4,0.053
19820520,-0.44,-0.33,0.33,0.053
19820521,0.16,-0.37,0.19,0.053
19820524,-0.08,-0.39,-0.19,0.053
19820525,-0.3,0.11,0.19,0.053
19820526,-1.26,-0.02,0.6,0.053
19820527,-0.47,-0.01,-0.01,0.053
19820528,-0.38,0.77,0.01,0.053
19820601,-0.39,-0.24,-0.16,0.043
19820602,0.31,-0.02,-0.05,0.043
19820603,-0.22,-0.01,0.36,0.043
19820604,-1.52,0.39,0.81,0.043
19820607,-0.14,-0.48,0.05,0.043
19820608,-0.44,-0.02,0.23,0.043
19820609,-0.69,-0.25,0.25,0.043
19820610,0.37,-0.15,-0.29,0.043
19820611,1.52,-0.21,-0.43,0.043
19820614,-1.14,0.38,0.72,0.043
19820615,-0.37,-0.09,0.26,0.043
19820616,-0.56,0.55,0.3,0.043
19820617,-1.05,0.13,0.72,0.043
19820618,-0.55,-0.14,0.19,0.043
19820621,-0.07,0.15,-0.18,0.043
19820622,0.76,-0.41,-0.74,0.043
19820623,1.52,-0.51,-1.19,0.043
19820624,-0.19,0.43,0.22,0.043
19820625,-0.58,0.32,0.05,0.043
19820628,0.74,-0.48,-0.61,0.043
19820629,0.01,-0.28,0.6,0.043
19820630,-0.39,0.67,0.7,0.043
19820701,-0.79,0.35,0.54,0.05
19820702,-0.75,0.55,0.45,0.05
19820706,-0.43,0.03,0.16,0.05
19820707,-0.21,-0.08,0.13,0.05
19820708,0.03,-0.74,-0.12,0.05
19820709,1.08,-0.14,-0.38,0.05
19820712,0.67,-0.09,0.15,0.05
19820713,-0.12,0.21,-0.31,0.05
19820714,0.6,-0.76,-0.59,0.05
19820715,0.04,0.15,-0.13,0.05
19820716,0.43,-0.32,-0.49,0.05
19820719,-0.25,0.29,0.24,0.05
19820720,0.53,-0.26,-0.06,0.05
19820721,0,0.35,-0.22,0.05
19820722,0.03,0.26,-0.03,0.05
19820723,-0.33,0.39,0.18,0.05
19820726,-0.7,0.23,0.04,0.05
19820727,-0.8,0.49,0.08,0.05
19820728,-1.55,0.14,0.61,0.05
19820729,-0.16,-0.48,-0.23,0.05
19820730,-0.45,0.34,0.14,0.05
19820802,1.56,-0.99,-0.02,0.035
19820803,-0.83,0.69,0.46,0.035
19820804,-1.46,0.54,0.85,0.035
19820805,-0.81,-0.05,0.64,0.035
19820806,-1.2,0.37,0.91,0.035
19820809,-0.79,-0.9,0.44,0.035
19820810,-0.17,0,0.21,0.035
19820811,-0.33,-0.19,0.63,0.035
19820812,-0.3,-0.26,0.64,0.035
19820813,1.09,-1.36,0.75,0.035
19820816,0.41,0.3,0.48,0.035
19820817,4.09,-2.4,0.16,0.035
19820818,0.12,1.56,-0.4,0.035
19820819,0.21,-0.46,0.16,0.035
19820820,3.08,-1.7,-0.44,0.035
19820823,2.59,-1.01,-0.68,0.035
19820824,-0.25,1.25,-0.62,0.035
19820825,2,-0.26,-0.94,0.035
19820826,1.07,0.69,-1.14,0.035
19820827,-1.07,0.96,-0.47,0.035
19820830,0.36,-0.33,-0.41,0.035
19820831,1.43,-0.41,-0.23,0.035
19820901,-0.88,0.6,0.53,0.024
19820902,1.56,-0.36,-0.7,0.024
19820903,1.8,-0.94,-0.6,0.024
19820907,-0.96,0.69,0.38,0.024
19820908,0.67,0.01,-0.36,0.024
19820909,0.01,0.64,0.03,0.024
19820910,-0.73,0.48,0.29,0.024
19820913,0.81,-0.77,-0.23,0.024
19820914,0.81,0,-0.28,0.024
19820915,0.8,-0.22,-0.23,0.024
19820916,-0.15,0.55,-0.23,0.024
19820917,-0.93,0.62,0.12,0.024
19820920,-0.11,-0.29,0.14,0.024
19820921,1.68,-0.73,-0.35,0.024
19820922,-0.46,0.72,0.47,0.024
19820923,-0.19,-0.08,-0.02,0.024
19820924,-0.28,0.52,-0.19,0.024
19820927,0.18,-0.23,0.1,0.024
19820928,-0.2,0.43,0.15,0.024
19820929,-1.23,0.5,0.64,0.024
19820930,-0.85,0.56,0.52,0.024
19821001,1.1,-0.66,0.01,0.028
19821004,-0.29,0.02,-0.02,0.028
19821005,0.42,0.1,-0.23,0.028
19821006,2.92,-1.34,-0.97,0.028
19821007,2.05,-0.47,-0.38,0.028
19821008,1.74,-0.49,0.27,0.028
19821011,2.24,-0.54,0.1,0.028
19821012,-0.1,0.26,-0.12,0.028
19821013,1.8,0.23,-1.08,0.028
19821014,-1.28,1.4,0.22,0.028
19821015,-0.6,0.67,0.11,0.028
19821018,2.03,-0.87,-0.65,0.028
19821019,-0.01,0.21,0.29,0.028
19821020,1.87,-0.56,-0.55,0.028
19821021,0,0.72,-0.76,0.028
19821022,0.04,1.19,-0.17,0.028
19821025,-3.62,1.47,0.55,0.028
19821026,0.55,-1.39,-0.11,0.028
19821027,0.77,0.83,-0.29,0.028
19821028,-1.02,1.14,0.29,0.028
19821029,0.26,0.08,0.2,0.028
19821101,1.15,-0.51,-0.31,0.03
19821102,1.53,0.12,-0.03,0.03
19821103,3.56,-1.15,-0.55,0.03
19821104,-0.36,1.05,-0.05,0.03
19821105,0.48,0.54,-0.04,0.03
19821108,-0.96,1.04,-0.03,0.03
19821109,1.64,0.07,-0.46,0.03
